word;level
Mengenangabe;A1.1
Mensch;A1.2
Meter;A1.2
Metzger;A1.2
Miete;A1.1
Milch;A1.1
Milchprodukt;A1.1
mindestens;A1.1
minus;A1.2
Minute;A1.2
mir;A1.1
mit;A1.1
mitbringen;A1.2
Mittag;A1.1
Mittagessen;A1.2
mittags;A1.1
Mittagspause;A1.1
Mittwoch;A1.1
Möbel;A1.1
Mobilität;A1.2
möbliert;A1.1
möchten;A1.1
Mode;A1.2
Modell;A1.2
modern;A1.1
mögen;A1.1
Möhre;A1.1
Moment;A1.2
Monat;A1.1
Monatsmiete;A1.1
Mond;A1.2
Montag;A1.1
morgen;A1.1
Morgen;A1.1
morgens;A1.1
Motorrad;A1.2
müde;A1.1
Müll;A1.1
Mund;A1.2
Musik;A1.1
Musiklehrer/in;A1.2
müssen;A1.1
Mutter;A1.1
Mütze;A1.2
nach;A1.1
Nachbar/in;A1.2
nachfragen;A1.2
Nachmittag;A1.1
nachmittags;A1.1
Nachname;A1.1
nächster/nächste/nächstes;A1.2
Nacht;A1.1
Nachtdienst;A1.2
nachts;A1.1
Nacken;A1.2
Name;A1.1
Nase;A1.2
nass;A1.2
Natur;A1.2
natürlich;A1.1
nebelig;A1.2
neben;A1.1
Nebenkosten;A1.1
nehmen;A1.1
nein;A1.1
nett;A1.1
neu;A1.1
nicht;A1.1
nichts;A1.2
nie;A1.1
noch;A1.1
nochmal;A1.2
Norden;A1.2
Notfallsprechstunde;A1.2
Notizzettel;A1.1
November;A1.2
Nudel;A1.1
nun;A1.2
nur;A1.1
Obergeschoss;A1.1
Obst;A1.1
Obstsalat;A1.1
oder;A1.1
öffentlich;A1.2
oft;A1.1
ohne;A1.1
Ohr;A1.2
Oktober;A1.2
Oktoberfest;A1.2
Olivenöl;A1.1
Oma;A1.2
online;A1.2
Orange;A1.1
orange;A1.2
ordnen;A1.1
Ordnung;A1.2
organisieren;A1.2
Orientierung;A1.2
Ort;A1.1
Orthopäde;A1.2
Osten;A1.2
Osterei;A1.2
Osterfest;A1.2
Osterhase;A1.2
Ostern;A1.2
Paar;A1.2
packen;A1.2
Packung;A1.1
Papa;A1.2
Papier;A1.1
Papierkorb;A1.1
Paprika;A1.1
Park;A1.2
Parkgebühr;A1.2
Parkplatz;A1.2
Partner/in;A1.1
passen;A1.2
Patient/in;A1.2
Pause;A1.1
per;A1.2
Person;A1.1
Pflanze;A1.1
Pflaster;A1.2
Pflege;A1.2
Pfund;A1.1
Pilz;A1.1
Pizza;A1.1
Pizzafahrer;A1.2
Pizzeria;A1.2
Plan;A1.1
planen;A1.1
Platz;A1.1
Polizei;A1.2
Position;A1.2
positiv;A1.2
Post;A1.2
Postkarte;A1.2
Postleitzahl;A1.1
Praktikum;A1.2
Praktikumsbetreuerin;A1.2
praktisch;A1.2
Praxis;A1.2
Praxisgemeinschaft;A1.2
Preis;A1.1
pro;A1.1
probieren;A1.2
Problem;A1.1
Projektor;A1.1
Prospekt;A1.2
prüfen;A1.2
Pudding;A1.1
Pullover;A1.2
pünktlich;A1.2
putzen;A1.1
Quadratmeter;A1.1
Radiergummi;A1.1
Radio;A1.2
raten;A1.2
Rathaus;A1.2
rauchen;A1.2
Raum;A1.1
räumen;A1.2
rechnen;A1.2
rechts;A1.2
reden;A1.2
Regal;A1.1
regelmäßig;A1.2
Regionalbahn;A1.2
regnen;A1.2
Reihenhaus;A1.1
Reis;A1.1
Reise;A1.2
Rentner/in;A1.2
Reparatur;A1.2
reparieren;A1.2
Reporter;A1.2
Restaurant;A1.2
Rezept;A1.2
richtig;A1.1
Rindfleisch;A1.1
Rock;A1.2
Roman;A1.2
rot;A1.2
Rücken;A1.2
Rucksack;A1.1
Ruhe;A1.2
ruhig;A1.1
rund;A1.2
Sache;A1.1
Saft;A1.1
sagen;A1.1
Sahne;A1.1
Salat;A1.1
Salbe;A1.2
Salz;A1.1
Samstag;A1.1
samstags;A1.2
Satz;A1.1
schade;A1.1
Schal;A1.2
Schatz;A1.2
schauen;A1.1
scheinen;A1.2
schenken;A1.2
schicken;A1.2
Schienenersatzverkehr;A1.2
Schiff;A1.2
schlafen;A1.1
Schlafzimmer;A1.1
schlecht;A1.2
schlimm;A1.2
Schluss;A1.1
Schlüssel;A1.1
schmal;A1.1
schmecken;A1.1
Schmerz;A1.2
Schnee;A1.2
Schneemann;A1.2
schneien;A1.2
schnell;A1.1
Schnupfen;A1.2
Schokolade;A1.1
Schokoladenkuchen;A1.2
schön;A1.1
Schrank;A1.1
schreiben;A1.1
Schuh;A1.2
Schule;A1.1
Schüler/in;A1.2
Schulter;A1.2
Schwägerin;A1.1
schwanger;A1.2
schwarz;A1.2
Schweinefleisch;A1.1
Schwester;A1.1
Schwiegertochter;A1.1
Schwiegervater;A1.1
Schwimmbad;A1.2
Seehund;A1.2
sehen;A1.1
sehr;A1.1
sein;A1.1
sein/seine;A1.2
Seite;A1.1
Sekt;A1.2
selten;A1.2
September;A1.2
servieren;A1.2
Sessel;A1.1
Shirt;A1.2
sich;A1.1
sicher;A1.2
Sie;A1.1
sie;A1.1
singen;A1.1
sitzen;A1.1
Ski;A1.2
so;A1.1
Socke;A1.2
Sofa;A1.1
sofort;A1.1
Sohn;A1.1
sollen;A1.1
Sommer;A1.2
Sonderangebot;A1.1
Sonne;A1.1
sonnig;A1.2
Sonntag;A1.1
sonst;A1.1
sonstiges;A1.1
sowieso;A1.2
Spaß;A1.1
spät;A1.1
später;A1.2
spazieren;A1.1
Spezialität;A1.2
Spiel;A1.1
spielen;A1.1
Spitzer;A1.1
Sport;A1.1
Sportschuh;A1.2
Sprache;A1.1
Sprachschule;A1.1
sprechen;A1.1
Sprechstunde;A1.2
Sprechstundenhilfe;A1.2
Sprechzimmer;A1.2
spülen;A1.1
Spülmaschine;A1.1
Stadt;A1.1
Stadtplan;A1.2
Stadtwald;A1.2
Standesamt;A1.2
stark;A1.2
stehen;A1.1
steigen;A1.2
stellen;A1.2
Stirn;A1.2
Strand;A1.2
Straße;A1.1
Straßenbahn;A1.2
streichen;A1.1
Stress;A1.2
stressig;A1.2
Strickjacke;A1.2
Strumpf;A1.2
Stück;A1.1
Student/in;A1.2
studieren;A1.2
Studium;A1.2
Stuhl;A1.1
Stunde;A1.1
stundenlang;A1.2
Stundenplan;A1.1
suchen;A1.1
Süden;A1.2
super;A1.1
supergut;A1.1
Supermarkt;A1.1
Suppe;A1.2
süß;A1.2
Tabelle;A1.1
Tablette;A1.2
Tafel;A1.1
Tag;A1.1
Tageskarte;A1.2
tanzen;A1.2
Tasche;A1.1
Tasse;A1.1
Taxi;A1.2
Taxifahrer/in;A1.2
Techniker/in;A1.2
Tee;A1.1
Telefon;A1.2
telefonieren;A1.1
Telefonnummer;A1.1
Teller;A1.2
Tennis;A1.2
Teppich;A1.1
Termin;A1.2
Terrasse;A1.1
teuer;A1.1
Text;A1.1
Tipp;A1.1
Tisch;A1.1
Tochter;A1.1
Toilette;A1.1
toll;A1.1
Tomate;A1.1
Torte;A1.2
Tourist;A1.2
tragen;A1.2
Traube;A1.1
Traumberuf;A1.2
Traumwohnung;A1.1
treffen;A1.2
trinken;A1.1
trocken;A1.2
Tropfen;A1.2
tschüss;A1.1
tun;A1.1
Tür;A1.1
typisch;A1.2
über;A1.1
überall;A1.2
überhaupt;A1.2
übermorgen;A1.1
Übung;A1.1
Übungsbuch;A1.1
Uhr;A1.1
Uhrzeit;A1.1
um;A1.1
umsteigen;A1.2
umtauschen;A1.2
unbedingt;A1.1
und;A1.1
ungefähr;A1.2
ungemütlich;A1.1
unglücklich;A1.2
Unglückstag;A1.2
Universität;A1.2
unregelmäßig;A1.2
uns;A1.2
unser/unsere;A1.1
unter;A1.2
Unterricht;A1.1
unterrichten;A1.2
Unterschrift;A1.2
unterstreichen;A1.1
Untersuchung;A1.2
Urlaub;A1.2
Vater;A1.1
Verband;A1.2
verbinden;A1.1
verdienen;A1.2
Verfügung;A1.2
vergessen;A1.2
vergleichen;A1.1
verheiratet;A1.1
Verkäufer/in;A1.1
Verkehrsmittel;A1.2
verschieden;A1.2
verstanden;A1.2
verstehen;A1.1
verwitwet;A1.1
verzögern;A1.2
viel;A1.1
vielleicht;A1.2
Viertel;A1.1
Volkshochschule (VHS);A1.2
voll;A1.2
von;A1.1
vor;A1.1
vorbei;A1.2
vorgestern;A1.1
Vormittag;A1.1
vormittags;A1.1
Vorname;A1.1
vorne;A1.2
Vorsorge;A1.2
vorstellen;A1.1
wählen;A1.2
Wand;A1.1
wann;A1.1
warm;A1.2
warten;A1.2
Wartezimmer;A1.2
warum;A1.1
was;A1.1
waschen;A1.1
Waschmaschine;A1.1
Wasser;A1.1
WC;A1.1
Wechsel;A1.2
wechseln;A1.2
Weg;A1.2
wegziehen;A1.1
wehtun;A1.2
Weihnachten;A1.2
Weihnachtsbaum;A1.2
Weihnachtsfeier;A1.2
Weihnachtsgeschenk;A1.2
Weihnachtsmann;A1.2
Wein;A1.1
weiter;A1.1
welcher/welche/welches;A1.1
Weltfrauentag;A1.2
wenn;A1.1
wer;A1.1
werden;A1.1
Werkstatt;A1.2
Westdeutschland;A1.2
Westen;A1.2
Wetter;A1.2
Wetterbericht;A1.2
wichtig;A1.1
wie;A1.1
wieder;A1.2
Wiederhören;A1.2
wiederkommen;A1.2
Wiedersehen;A1.1
wieso;A1.2
willkommen;A1.1
windig;A1.2
Winter;A1.2
Wintermantel;A1.2
wir;A1.1
wissen;A1.1
wo;A1.1
Woche;A1.1
Wochenende;A1.1
Wochenmarkt;A1.2
woher;A1.1
wohin;A1.2
wohnen;A1.1
Wohnort;A1.1
Wohnung;A1.1
Wohnungsanzeige;A1.1
Wohnungssuche;A1.1
Wohnzimmer;A1.1
wollen;A1.2
Wort;A1.1
Wörterbuch;A1.1
