word;level
traditionsreich;B1.2
traumhaft;B1.1
Trend;B1.2
treu;B1.1
Trinkwasser;B1.1
tropfen;B1.2
trüb;B1.1
Tsunami;B1.1
Turm;B1.1
übereinstimmen;B1.2
übergeben;B1.2
überglücklich;B1.2
überlegen;B1.1
übernachten;B1.1
Übernachtung;B1.1
Übernachtung mit Frühstück (ÜF);B1.1
überraschen;B1.2
Überschwemmung;B1.2
übersetzen;B1.2
Übersetzung;B1.2
Übersetzungsbüro;B1.2
Überstunde;B1.2
Übertragung;B1.1
überzeugen;B1.2
üblich;B1.1
umdrehen;B1.1
umfallen;B1.2
Umgang;B1.2
Umgebung;B1.1
umgehen;B1.1
umgehend;B1.1
Umschulung;B1.2
umso;B1.2
umweltfreundlich;B1.1
Umweltschutz;B1.1
Umweltverschmutzung;B1.1
unbefristet;B1.2
unentschieden;B1.1
Unfall;B1.2
Unfallgefahr;B1.2
ungeduldig;B1.2
ungesund;B1.1
unglaublich;B1.1
unnötig;B1.2
Unrecht;B1.1
Unterhaltung;B1.1
Unternehmen;B1.2
unverbindlich;B1.1
Unwetter;B1.1
Urlaubstag;B1.2
Urteil;B1.1
vegan;B1.2
Veganer/in;B1.2
verabreden;B1.2
verändern;B1.1
verärgert;B1.1
Verbrauch;B1.2
Verbraucher/in;B1.1
verdrängen;B1.1
vereinbar;B1.2
vereinigen;B1.1
verfolgen;B1.1
vergleichbar;B1.1
Vergütung;B1.2
verhaften;B1.1
verlängern;B1.1
verlassen;B1.1
verlaufen;B1.1
verletzen;B1.2
Verlierer/in;B1.1
vermischen;B1.1
vermissen;B1.2
verpacken;B1.1
verpflichten;B1.1
verreisen;B1.1
Versand;B1.1
Versandkosten (Pl.);B1.1
versandkostenfrei;B1.1
Versandkostenpauschale;B1.1
verschieben;B1.1
verschmutzen;B1.1
verschwenden;B1.1
verschwenden;B1.2
Verschwendung;B1.1
versehentlich;B1.2
versenden;B1.1
versichern;B1.2
Versicherungsberater/in;B1.2
Versicherungsschutz;B1.2
versorgen;B1.2
versprechen;B1.1
Verständnis;B1.1
Verstärkung;B1.2
Verstoß;B1.1
verstoßen;B1.1
vertragen;B1.2
Vertragsende;B1.2
Vertragsnummer;B1.2
verursachen;B1.2
verurteilen;B1.2
verwerten;B1.1
Verzehr;B1.2
verzichten;B1.2
Visum;B1.1
völlig;B1.1
Vollkaskoversicherung (Vollkasko);B1.2
voraussichtlich;B1.1
vorbeigehen;B1.2
vorher;B1.1
vorhersagen;B1.1
vorschreiben;B1.2
vorsichtig;B1.2
WAHR;B1.2
wahrscheinlich;B1.1
Wanderer;B1.1
Wandertour;B1.1
Ware;B1.1
Warenkorb;B1.1
Wärme;B1.2
Waschraum;B1.1
wasserdicht;B1.1
Wasserhahn;B1.2
wegfahren;B1.2
wegräumen;B1.1
wegschmeißen (ugs.);B1.1
wegwerfen;B1.1
Weise;B1.2
weitergehen;B1.2
weiterhelfen;B1.2
Weiterleitung;B1.2
Weltall;B1.1
Weltmeisterschaft (WM);B1.1
Werktag;B1.1
Werkzeug;B1.2
Wert;B1.2
Wertstoff;B1.1
weshalb;B1.1
wetterfest;B1.1
widerrufen;B1.1
Widerrufsrecht;B1.1
Widerspruch;B1.1
wiedervereinigen;B1.1
Wiedervereinigung;B1.1
Wind;B1.1
Windel;B1.1
Windschutzscheibe;B1.2
Wirbelsturm;B1.1
wohlfühlen;B1.2
Wohnwagen;B1.1
Wolke;B1.1
Wurst;B1.2
wütend;B1.1
Zahlung;B1.1
zappen;B1.1
zaubern;B1.2
Zeichentrickfilm;B1.1
zeitlich;B1.2
Zeitmangel;B1.2
Zeitpunkt;B1.2
Zeitraum;B1.1
Zeitungsbericht;B1.2
Zeitverschwendung;B1.1
Zelt;B1.1
zerschlagen;B1.1
zerstören;B1.1
Zerstörung;B1.1
Ziel;B1.2
ziemlich;B1.1
Zigarettenkippe;B1.1
Zimmerlautstärke;B1.1
Zoll;B1.1
zudrehen;B1.2
zufällig;B1.2
zugeben;B1.1
zügig;B1.2
zulassen;B1.2
zumachen;B1.2
zunehmen;B1.2
zurückfahren;B1.1
zurückkehren;B1.1
zurücklassen;B1.1
zurückschicken;B1.1
zurücksenden;B1.1
zurücktreten;B1.1
Zusammenarbeit;B1.2
zusammenarbeiten;B1.2
Zusammenleben;B1.1
zusammenstellen;B1.2
zusammenstoßen;B1.2
zusätzlich;B1.2
Zusatzqualifikation;B1.2
Zusatzstoff;B1.2
Zusatzversicherung;B1.2
Zuschauer/in;B1.1
Zuschlag;B1.1
zustellen;B1.1
zustimmen;B1.1
Zutritt;B1.1
Zuverlässigkeit;B1.2
